Time (UTC),Spot Price 2025,Spot Price 2035,Spot Price 2045,DA forecast,Realised production
2014-01-18 13.59.57,28.192,41.991,14.108,0.9563,0.9268
2014-01-18 14.59.57,27.559,41.991,14.153,0.9471,0.9205
2014-01-18 15.59.57,26.331,41.991,14.153,0.9062,0.9248
2014-01-18 16.59.57,25.678,41.991,14.153,0.9017,0.9285
2014-01-18 17.59.57,25.288,41.991,14.153,0.9045,0.945
2014-01-18 18.59.57,25.288,41.991,14.153,0.9093,0.9542
2014-01-18 19.59.57,25.288,41.991,14.153,0.9774,0.9597
2014-01-18 20.59.57,25.288,41.991,14.153,0.9938,0.9484
2014-01-18 21.59.57,25.288,41.991,14.153,0.9755,0.9196
2014-01-18 22.59.57,25.288,41.991,14.153,0.9963,0.9528
2014-01-18 23.59.57,24.378,47.722,43.771,1,0.9692
2014-01-19 00.59.57,24.378,47.722,43.771,1,0.9689
2014-01-19 01.59.57,24.378,47.722,43.771,1,0.9748
2014-01-19 02.59.57,24.378,47.722,43.771,1,0.9807
2014-01-19 03.59.57,24.378,47.722,43.771,1,0.9877
2014-01-19 04.59.57,24.451,47.722,43.771,1,0.9903
2014-01-19 05.59.57,24.451,47.722,43.771,1,0.9841
2014-01-19 06.59.57,24.451,47.722,43.771,1,0.9917
2014-01-19 07.59.57,23.812,45.973,42.976,1,0.9998
2014-01-19 08.59.57,23.264,44.23,41.422,1,0.9999
2014-01-19 09.59.57,24.475,44.23,41.422,1,0.9904
2014-01-19 10.59.57,24.201,44.23,41.422,1,0.9905
2014-01-19 11.59.57,24.201,44.23,41.422,1,0.9927
2014-01-19 12.59.57,24.378,44.856,41.984,1,0.9998
2014-01-19 13.59.57,24.451,46.353,43.771,1,0.9997
2014-01-19 14.59.57,25.205,47.722,43.771,1,0.9999
2014-01-19 15.59.57,25.205,47.722,43.771,1,0.9999
2014-01-19 16.59.57,25.205,47.722,43.771,1,0.9999
2014-01-19 17.59.57,25.205,47.722,43.771,1,0.9999
2014-01-19 18.59.57,25.205,47.722,43.771,1,0.9999
2014-01-19 19.59.57,25.41,47.722,43.771,1,0.9999
2014-01-19 20.59.57,27.553,47.722,43.771,1,0.9997
