HA production forecast,Realised Balancing Price,System Signal 
0.4167,210.4116147,1
0.4267,53.75,0
0.3035,53.75,0
0.3635,53.75,0
0.3938,53.75,0
0.2374,63.362,0
0.3096,81.04,0
0.3543,52.118,0
0.3054,48.245,0
0.4079,46.426,0
0.3019,210.4116147,1
0.2344,45.409,0
0.2117,45.409,0
0.2178,47.027,0
0.1972,51.897,0
0.264,74.436,0
0.3626,78.285,0
0.2583,210.4116147,1
0.2268,210.4116147,1
0.2321,63.362,0
0.1647,55.267,0
0.1607,56.695,0
0.153,56.695,0
0.0987,210.4116147,1
0.1505,210.4116147,1
0.0331,210.4116147,1
0.0793,62.791,0
0.052,62.791,0
0.1069,62.791,0
0.092,62.791,0
0.0963,82.368,0
0.1545,55.046,0
0.1231,210.4116147,1
0.093,210.4116147,1
0.1532,210.4116147,1
0.0627,43.464,0
0.0241,210.4116147,1
0.051,210.4116147,1
0.0724,210.4116147,1
0.1029,210.4116147,1
0.1282,210.4116147,1
0.1688,88.404,0
0.1469,210.4116147,1
0.1666,81.114,0
0.1717,65.127,0
0.1092,210.4116147,1
0.0594,210.4116147,1
0.0231,79.091,0
0.0177,79.091,0
0,79.091,0
0,210.4116147,1
0.0723,79.091,0
0.0235,79.091,0
0.0637,81.995,0
0.0228,0,0
0,36.36238512,0
0,0,0
0,0,0
0.0067,0,0
0.0806,0,0
0.0136,0,0
0.0406,61.756,0
0.0486,87.865,0
0.0568,96.785,0
0.121,210.4116147,1
0.0965,210.4116147,1
0.1477,210.4116147,1
0.1604,90.36,0
0.1263,90.36,0
0.1291,79.7,0
0.1399,79.091,0
0.2749,210.4116147,1
0.3016,210.4116147,1
0.2068,210.4116147,1
0.2541,210.4116147,1
0.243,210.4116147,1
0.4296,210.4116147,1
0.2297,210.4116147,1
0.2429,99.721,0
0.1733,210.4116147,1
0.1536,210.4116147,1
0.2486,210.4116147,1
0.3171,210.4116147,1
0.3476,210.4116147,1
0.2832,210.4116147,1
0.2516,210.4116147,1
0.1121,210.4116147,1
0.1463,210.4116147,1
0.1583,210.4116147,1
0.2052,210.4116147,1
0.0817,210.4116147,1
0.13,210.4116147,1
0.0128,210.4116147,1
0.0035,210.4116147,1
0.0709,210.4116147,1
0.0519,80.678,0
0.0647,80.587,0
0.0206,80.587,0
0.0998,80.587,0
0.0105,210.4116147,1
0.0873,210.4116147,1
0.043,210.4116147,1
0.013,80.587,0
0.0922,210.4116147,1
0,66.198,1
0,61.501,0
0.0101,61.226,1
0,0,0
0,0,0
