time,Spot price 2025,Spot price 2035,Spot price 2045,DA forecast,Realised production
23/01/1985 02.00,29.861,46.892,49.183,0.8709,0.676
23/01/1985 03.00,29.861,46.892,49.183,0.9372,0.782
23/01/1985 04.00,29.861,46.892,49.183,0.9784,0.8787
23/01/1985 05.00,31.361,46.892,49.183,0.9975,0.9352
23/01/1985 06.00,32.394,46.892,47.958,1,0.9491
23/01/1985 07.00,34.282,46.659,48.842,1,0.95
23/01/1985 08.00,34.504,46.701,48.556,1,0.9417
23/01/1985 09.00,32.167,44.622,46.327,1,0.9486
23/01/1985 10.00,30.913,42.829,45.535,1,0.9514
23/01/1985 11.00,29.684,42.829,45.535,1,0.952
23/01/1985 12.00,31.328,42.829,45.535,1,0.9529
23/01/1985 13.00,32.344,42.829,47.091,1,0.9578
23/01/1985 14.00,32.344,44.986,47.422,1,0.9634
23/01/1985 15.00,32.646,46.292,49.061,1,0.9588
23/01/1985 16.00,32.977,46.892,49.183,1,0.9376
23/01/1985 17.00,33.792,46.892,49.183,0.9956,0.9039
23/01/1985 18.00,33.077,46.892,49.183,0.9962,0.8622
23/01/1985 19.00,32.629,46.892,49.183,0.99,0.7549
23/01/1985 20.00,32.629,46.892,49.183,0.9944,0.6609
23/01/1985 21.00,32.629,46.892,49.183,0.9913,0.5854
23/01/1985 22.00,32.629,46.892,49.183,0.9768,0.5143
23/01/1985 23.00,32.629,46.892,49.183,0.9018,0.4284
24/01/1985 00.00,31.727,49.176,53.868,0.2908,0.4139
24/01/1985 01.00,31.727,49.176,53.868,0.2939,0.3933
24/01/1985 02.00,31.727,49.176,53.868,0.2889,0.3734
24/01/1985 03.00,31.727,49.176,53.868,0.2495,0.3568
24/01/1985 04.00,31.727,49.176,53.868,0.1988,0.3319
24/01/1985 05.00,31.727,49.176,53.868,0.1755,0.3273
24/01/1985 06.00,33.004,49.3,53.137,0.1461,0.3463
24/01/1985 07.00,40.954,51.186,53.292,0.1213,0.3675
24/01/1985 08.00,34.615,49.051,53.134,0.1341,0.3907
24/01/1985 09.00,33.622,45.671,52.111,0.1899,0.4461
24/01/1985 10.00,32.798,44.911,50.489,0.3455,0.6787
24/01/1985 11.00,31.991,43.952,50.13,0.3703,0.6924
